Goal,Summary/abstract,Site name,Site location,Cruise or expedition,Collection method,Collection date,Chronological details,Environmental setting,Depositional setting,Links to ancilary data,Repository,Storage,Preparation,Sieve mesh size and unit,Mounting medium,Size of coverslip,Counting method,Count magnification,Count marker,Marker details,Taxonomic concept,Lumping explanation,Variant mapping explanation,Highest taxonomic resolution,Unique names,Group specific requirements,Link parallel taxonomies,Link to external ontology,Zero abundances,Unidentified specimens,Indication of completeness,Reworked,Source,Contributor,Institution,Project,Funder,Addition1,Size fraction incl. unit,Specimen state,Sample preservation,Sample mass incl. unit,Dry bulk density incl. unit,Sample_addition,Top and bottom depth incl. unit,Sedimentary unit,Sample ID,Sample age and unit,Raw counts,Raw_explanation,Qualitative classification,Data_addition,Final,Career,Fossil_group,Continent
Desired,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Desired,NA,NA,Recommended,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,NA,Recommended,Recommended,Recommended,Desired,Desired,Include a commet stating if there is any not-analyzed sample available.,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,Europe
Desired,Desired,Recommended,Desired,Desired,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Desired,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Yes,Recommended,Recommended,Desired,Essential,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,If the work has a slide collection/hoy collection for further analysis and comparison,Recommended,Recommended,Desired,Recommended,Desired,NA,Recommended,Desired,Desired,Desired,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,South America
Essential,Desired,Recommended,Essential,Recommended,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Essential,Recommended,Desired,Recommended,Recommended,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Desired,Desired,Desired,NA,Essential,Recommended,Essential,Essential,Essential,NA,Essential,Essential,Recommended,Essential,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Asia
Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Desired,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Desired,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Desired,NA,Essential,Recommended,Recommended,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,North America
Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Yes,Essential,Desired,Desired,Desired,Desired,Desired,Desired,Essential,Recommended,Essential,Recommended,Recommended,Desired,NA,Recommended,Recommended,Recommended,Desired,Desired,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Coccolithophores,Australia
Essential,Desired,Recommended,Essential,Recommended,Desired,Desired,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Essential,Desired,Desired,NA,Recommended,Essential,Essential,Yes,Essential,Desired,Desired,Recommended,Essential,Essential,Essential,Desired,Essential,Recommended,Desired,Desired,Desired,NA,Essential,Essential,Recommended,Essential,Essential,It should be noted if the sample was concentrated using floating techniques or not,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,"One other way to make sure the data is accessible is to provide the raw data in multiple formats like csv, excel, or pdf where other researchers can easily access the data for future projects. Having data in formats such as text files that are not easily translated to these types of formats allows for errors to be made.",ECR,Benthic foraminifera,North America
Desired,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Recommended,Yes,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Essential,Desired,Desired,Recommended,Desired,NA,Essential,Recommended,Essential,Recommended,Recommended,General description of lithology and any other microfossils present in sample,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,Thanks for doing this study!,ER,Benthic foraminifera,North America
Essential,Essential,Essential,Essential,NA,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Essential,Desired,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Honest research is needed.,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,Asia
Recommended,Desired,Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Desired,Essential,Desired,Desired,Recommended,Desired,Essential,Recommended,Yes,Recommended,Recommended,Recommended,Desired,Desired,Essential,Essential,Desired,Recommended,Desired,Desired,Desired,Desired,"amount of sample analyzed, whether picked reside is available or if it was recombined with unpicked sample, if unpicked sample is available and if so, what percentage and approximate volume or weight available",Essential,Essential,Essential,Desired,Desired,NA,Essential,Desired,Essential,Essential,Yes,NA,Desired,NA,NA,ER,Benthic foraminifera,North America
Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Desired,Recommended,Essential,Recommended,Essential,Recommended,NA,Essential,Recommended,Essential,Essential,Recommended,NA,Essential,Recommended,Recommended,Recommended,Yes,the raw data are essential when a researcher want to group the species in different way or to calculate  different diversity indexes,Recommended,NA,NA,ER,Planktonic foraminifera,Europe
Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Essential,Essential,Desired,Recommended,Essential,Essential,Recommended,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Desired,Essential,Desired,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,North America
Essential,Essential,Essential,Essential,Essential,Essential,Desired,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Essential,Essential,Recommended,Desired,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Recommended,Essential,Desired,Desired,NA,Recommended,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,North America
Essential,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Desired,Recommended,Desired,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Recommended,Desired,Essential,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Asia
Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Yes,Desired,Essential,Essential,Desired,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,NA,Essential,Recommended,Recommended,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Planktonic foraminifera,Europe
Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Desired,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Essential,Desired,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Recommended,NA,Recommended,Recommended,Essential,Recommended,Yes,"It is always better to archive the raw data. You never know how it can be used again (checking, new analyses, etc.)",Essential,NA,NA,ECR,Benthic foraminifera,Europe
Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Desired,Essential,Recommended,Desired,Recommended,Recommended,Essential,Essential,Yes,Recommended,Desired,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Desired,NA,Essential,Essential,Recommended,Recommended,Recommended,NA,Recommended,Recommended,Recommended,Essential,Yes,NA,Desired,NA,NA,ER,Benthic foraminifera,North America
Desired,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Essential,Essential,Essential,Essential,Essential,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Yes,Essential,Essential,Desired,Desired,Desired,Essential,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Provide additional info about the place(s) where data are already stored (e.g. Pangaea),Essential,Essential,Desired,Essential,Essential,NA,Essential,Desired,Essential,Desired,Yes,NA,Essential,NA,NA,ER,Dinocysts,Europe
Recommended,Recommended,Essential,Essential,Essential,NA,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Desired,Desired,Desired,Essential,Essential,Essential,Desired,Essential,Essential,Essential,Essential,Recommended,NA,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Planktonic foraminifera,Europe
Desired,Desired,Desired,Essential,Desired,Recommended,Essential,Essential,Essential,NA,NA,Recommended,Essential,Recommended,Essential,NA,NA,Desired,Desired,NA,NA,Essential,Essential,Recommended,Yes,Recommended,NA,NA,Recommended,Essential,Essential,Essential,NA,Essential,Essential,Desired,Desired,Desired,NA,Essential,Recommended,Essential,NA,NA,"Maybe something for remarks --> was the sample complete? (e.g., nothing poured...)",Essential,NA,Recommended,NA,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Essential,Desired,Essential,Recommended,Essential,Essential,Essential,Desired,Desired,Recommended,Recommended,Recommended,Essential,Desired,Desired,Desired,Essential,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Yes,Recommended,Recommended,Essential,Recommended,Desired,Desired,Desired,Recommended,Essential,Essential,Recommended,NA,NA,NA,Essential,Recommended,Essential,Essential,Recommended,NA,Recommended,Essential,Desired,Essential,Yes,NA,Desired,NA,NA,ECR,Radiolaria,Europe
Recommended,Recommended,Essential,Recommended,Essential,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,No,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,"have answered several questions until this point assuming (as per beginning instructions) that the data is available to capture.  In reality tho many of the data traits/metadata are not available in existing published data - taxonomic completeness, reported zero abundances, or WoRMS taxa ids just as examples.  Thus many things clicked as essential by me are only so when, often in the minority of cases, the source publication has provided the data in the first place.  Also in some questions e.g. chronologic information the usefulness of capturing the information depends on how it is done.",Essential,Recommended,Essential,Essential,Recommended,"questions here and previously marked recommended are not listed as essential as assume that, given the site/core/repository, this info if missing can be obtained from the repository's database.  Which of course is not always true, e.g. for most French piston cores, etc.",Recommended,Desired,Essential,Essential,Yes,"It is not either-or here. Raw counts are only better if indeed the total counted - including 'other' is given, which is unfortunately not always true. And percent data is not in my eperience really less reliable than raw counts.  Again, data and metadata on 'total' are required.",Essential,"While one can ask for info on a semiquantitative scale, how closely it matches the actual practice of the data collector is questionable.  In my experience the two frequently differ substantially.  Nor does having these text explanations make it easy to synthesize data from different authors",My answers are based mostly on experience of deep sea drilling data,ER,Radiolaria,Europe
Essential,Recommended,Essential,Essential,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Recommended,Desired,Desired,No,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Desired,Desired,NA,Recommended,Desired,Desired,Recommended,Essential,NA,Essential,Recommended,Recommended,Essential,Yes,NA,Recommended,NA,NA,ECR,Benthic foraminifera,South America
Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Desired,Desired,Desired,Desired,Recommended,Essential,Essential,Desired,Recommended,Recommended,Recommended,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Desired,Desired,Essential,Essential,Desired,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Essential,Recommended,Recommended,Recommended,NA,Recommended,Desired,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Radiolaria,Europe
Essential,Recommended,Desired,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Essential,Essential,Recommended,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Yes,Recommended,NA,NA,Desired,Recommended,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Recommended,Type of sampled lithotypes (essential),Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,South America
Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Yes,Recommended,Recommended,Recommended,Recommended,NA,Recommended,Recommended,Essential,Essential,Essential,Essential,Recommended,Desired,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Recommended,Recommended,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Desired,Essential,Essential,Essential,NA,NA,Essential,NA,NA,NA,Essential,Essential,Essential,Yes,Essential,NA,NA,Desired,NA,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,"Geolocations might be an issue when lat, long are taken from maps (old data sets) or the precision of the instrument in old data sets is not as good as nowadays. This might apply to areas the coast or in areas with high bathymetric gradients (slopes), fraction of degree might lead to large differences between bathymetric charts and the water depth provided by the authors",Essential,Essential,Essential,Desired,NA,"Format of the abundance data (percent, counts, abundance /volumen), interval of the sediment when dealing with surface data (0-1 cm), number of specimens counted (if data are presented in percent).",Essential,Essential,Essential,Essential,Yes,NA,Essential,It would be recommended to use remarks/note column to account for issues that authors might wish to highlight (species identification or other issues).,"When possible, authors should provide a link to images picturing their own specimens or much less desirable to a reference book/publication. The later was a common practice a decade ago (xx xx see Jones, plate, fig). Since WoRMS emerged that practice has been lost and not many researchers indicate their taxonomy but they refer to WoRMS straightaway, which I think it is not enough. 
It happens that or some taxa of benthic foraminifera WoRMS do not have an array of pictures, mostly one or two and quite often  they are not of good quality, or the best example. 
It is fair to indicate that WoRMS have links to the papers picturing the original descriptions (but not always). The access to those publications occurs through a request bottom and the paper will arrive to you email within the next two days or so. Thus, it is not inmediate
Therefore, I consider that linking names to pictures is desirable/essential to be able to reuse data (e.g. An user might decide to allocate a species according to their own jusfitied criteria).",ER,Benthic foraminifera,Europe
Essential,Recommended,Essential,Essential,Desired,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Desired,Desired,Essential,Recommended,Recommended,Desired,Essential,Recommended,Recommended,Essential,Recommended,Essential,Recommended,Yes,Essential,Desired,Desired,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,NA,Essential,Desired,Recommended,Essential,Desired,NA,Recommended,Recommended,Recommended,Essential,Yes,NA,Recommended,NA,NA,ER,Coccolithophores,Europe
Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Desired,Recommended,Essential,Essential,Recommended,Yes,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Desired,Essential,NA,Essential,Essential,Recommended,Essential,Essential,NA,Recommended,Essential,Essential,Essential,Yes,NA,Desired,NA,NA,ECR,Benthic foraminifera,Asia
Essential,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Desired,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Yes,Essential,Essential,Recommended,Desired,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Desired,Recommended,"Authors should be encouraged to provide raw count data (not relative abundance) and full sample identifiers, e.g., site, core, interval in addition to depth (AND age where available/used) along with the age model itself.",Essential,Recommended,Recommended,Essential,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Desired,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Yes,Recommended,Recommended,NA,Recommended,Recommended,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Recommended,Essential,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
Recommended,Desired,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Recommended,Recommended,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ECR,Planktonic foraminifera,Europe
Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Desired,Essential,Recommended,Recommended,Essential,Recommended,Desired,Recommended,Recommended,Recommended,NA,Recommended,Recommended,NA,NA,Recommended,Recommended,Recommended,Yes,Essential,NA,NA,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Desired,Desired,NA,Recommended,Recommended,Recommended,Desired,Desired,NA,Recommended,Desired,Recommended,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
